penalty_id,penalty_name,property_penalty_type,sentence_years,property_penalty_amount
1,有期徒刑,罚金,七年三个月,30000
2,有期徒刑,罚金,一年九个月,15000
3,有期徒刑,罚金,十三年,20000
4,有期徒刑,罚金,一年二个月,6000
5,有期徒刑,罚金,三年三个月,5000
6,有期徒刑,罚金,一年三个月,3000
7,有期徒刑,罚金,一年,5000
8,有期徒刑,罚金,三年三个月,10000
9,有期徒刑,罚金,一年，缓刑一年六个月,3000
10,有期徒刑,罚金,七年六个月,8000
11,有期徒刑,罚金,一年二个月,5000
12,有期徒刑,罚金,十一年,10000
13,有期徒刑,罚金,三年六个月,8000
14,有期徒刑,罚金,一年四个月,3000
15,有期徒刑,罚金,八年六个月,10000
16,有期徒刑,罚金,二年,5000
17,有期徒刑,罚金,六个月,3000
18,有期徒刑,罚金,八年五个月,35000
19,有期徒刑,罚金,二年,10000
20,有期徒刑,罚金,二年,5000
21,有期徒刑,罚金,十一个月,1000
22,有期徒刑,罚金,十个月，缓刑一年,3000
23,有期徒刑,罚金,六年,10000
24,有期徒刑,罚金,一年八个月,5000
25,有期徒刑,罚金,一年八个月,5000
26,有期徒刑,罚金,一年三个月,10000
27,有期徒刑,罚金,七年六个月,20000
28,有期徒刑,罚金,一年,10000
29,有期徒刑,罚金,十一年，剥夺政治权利一年,50000
30,有期徒刑,没收财产,十五年，剥夺政治权利二年,50000
31,有期徒刑,罚金,三年三个月,10000
32,有期徒刑,罚金,九年,40000
33,有期徒刑,罚金,二年六个月,15000
34,有期徒刑,罚金,十年，剥夺政治权利二年,20000
35,有期徒刑,罚金,二年四个月,14000
36,有期徒刑,罚金,六年六个月,40000
37,有期徒刑,罚金,三年,10000
38,有期徒刑,没收财产,十五年，剥夺政治权利四年,110000
39,有期徒刑,罚金,八个月,6000
40,有期徒刑,罚金,八年,40000
41,有期徒刑,没收财产,十五年，剥夺政治权利二年,30000
42,有期徒刑,罚金,三年六个月,5000
43,有期徒刑,罚金,七个月,5000
44,有期徒刑,罚金,二年六个月,10000
45,有期徒刑,罚金,一年九个月,5000
46,有期徒刑,罚金,七年,10000
47,有期徒刑,罚金,二年十个月,15000
48,有期徒刑,没收财产,十五年,40000
49,有期徒刑,罚金,三年,3000
50,有期徒刑,罚金,一年九个月,4000
51,有期徒刑,罚金,一年,2000
52,有期徒刑,罚金,十一个月,2000
53,有期徒刑,罚金,三年,2000
54,有期徒刑,罚金,一年六个月,3000
55,有期徒刑,罚金,十一个月,2000
56,有期徒刑,罚金,一年二个月,2000
57,有期徒刑,罚金,八个月,2000
58,有期徒刑,罚金,四年,10000
59,有期徒刑,罚金,一年二个月,3000
60,有期徒刑,罚金,四年十个月,9000
61,有期徒刑,罚金,三年八个月,8000
62,有期徒刑,罚金,四年二个月,8000
63,有期徒刑,罚金,七个月,2000
64,有期徒刑,罚金,九个月,2000
65,有期徒刑,罚金,一年三个月,3000
66,有期徒刑,没收财产,十五年,35000
67,有期徒刑,没收财产,十五年,35000
68,有期徒刑,罚金,三年四个月,2000
69,有期徒刑,罚金,七年,7000
70,有期徒刑,罚金,一年三个月,1000
71,有期徒刑,罚金,十一个月,1000
72,有期徒刑,罚金,三年七个月,3000
73,有期徒刑,罚金,九个月,1000
74,有期徒刑,罚金,七个月,1000
75,有期徒刑,罚金,六年,6000
76,有期徒刑,罚金,二年三个月,2000
77,有期徒刑,罚金,三年,3000
78,有期徒刑,罚金,一年八个月,2000
79,有期徒刑,罚金,三年六个月,3000
80,有期徒刑,罚金,七年三个月,7000
81,有期徒刑,罚金,一年三个月,2000
82,有期徒刑,罚金,十年二个月，剥夺政治权利一年,12000
83,有期徒刑,罚金,二年,2000
84,有期徒刑,罚金,三年,3000
85,有期徒刑,罚金,三年六个月,3000
86,有期徒刑,罚金,二年三个月,2000
87,有期徒刑,罚金,二年,2000
88,有期徒刑,没收财产,十五年，剥夺政治权利三年,60000
89,有期徒刑,罚金,六个月,1000
90,有期徒刑,罚金,十三年，剥夺政治权利二年,13000
91,有期徒刑,罚金,十三年六个月，剥夺政治权利二年,14000
92,有期徒刑,罚金,八个月,1000
93,有期徒刑,罚金,一年三个月,2000
94,有期徒刑,罚金,八个月,2000
95,有期徒刑,罚金,一年八个月,4000
96,有期徒刑,罚金,七年,10000
97,有期徒刑,罚金,二年二个月,7000
98,有期徒刑,罚金,八年八个月,30000
99,有期徒刑,罚金,十个月,3000
100,有期徒刑,罚金,一年十个月,4000
101,有期徒刑,罚金,十个月,3000
102,有期徒刑,罚金,一年六个月,6000
103,有期徒刑,罚金,三年六个月,10000
104,有期徒刑,罚金,二年五个月,5000
105,有期徒刑,罚金,四年,10000
106,有期徒刑,罚金,七年八个月,22000
107,有期徒刑,罚金,十个月,2000
108,有期徒刑,罚金,一年,4000
109,有期徒刑,罚金,七个月,2000
110,有期徒刑,罚金,二年三个月,5000
111,有期徒刑,罚金，罚金,二年十个月,"29,000"
112,有期徒刑,罚金,四年十个月,5000
113,有期徒刑,罚金,八个月,2000
114,有期徒刑,罚金,十个月,3000
115,有期徒刑,罚金,二年六个月,7000
116,有期徒刑,罚金,七年六个月,12000
117,有期徒刑,罚金,三年八个月,12000
118,有期徒刑,罚金,八年,10000
119,有期徒刑,罚金,十个月,5000
120,有期徒刑,罚金,二年八个月,10000
121,有期徒刑,罚金,三年六个月,5000
122,拘役,罚金,五个月,2000
123,有期徒刑,罚金,九个月,3000
124,有期徒刑,罚金,四年,10000
125,有期徒刑,罚金,三年五个月,10000
126,有期徒刑,罚金,七年二个月,23000
127,有期徒刑,罚金,一年六个月,5000
128,有期徒刑,罚金,三年六个月,10000
129,有期徒刑,罚金,一年,3000
130,有期徒刑,没收财产,十五年，剥夺政治权利二年,50000
131,有期徒刑,罚金,六年,13000
132,有期徒刑,罚金,三年六个月,10000
133,有期徒刑,罚金,七年三个月,20000
134,有期徒刑,罚金,四年六个月,15000
135,有期徒刑,罚金,三年三个月,6000
136,有期徒刑,罚金,一年,3000
137,有期徒刑,罚金,三年二个月,10000
138,有期徒刑,罚金,三年六个月,20000
139,有期徒刑,罚金,二年,6000
140,有期徒刑,罚金,三年六个月,12000
141,有期徒刑,罚金,七年十个月,20000
142,有期徒刑,没收财产,十五年，剥夺政治权利二年,50000
143,有期徒刑,罚金,三年二个月,5000
144,有期徒刑,没收财产,十五年,80000
145,有期徒刑,罚金,八年,3000
146,有期徒刑,罚金,九年六个月,20000
147,有期徒刑,罚金,八年,8000
148,有期徒刑,罚金,九年六个月,20000
149,有期徒刑,罚金,六个月,1000
150,有期徒刑,罚金,三年四个月,5000
151,有期徒刑,罚金,一年六个月,3000
152,有期徒刑,罚金,三年,3000
153,有期徒刑,罚金,三年六个月,3000
154,有期徒刑,罚金,八个月,1000
155,有期徒刑,罚金,六个月,1000
156,有期徒刑,没收财产,十五年,10000
157,有期徒刑,罚金,十一年,30000
158,有期徒刑,没收财产,十五年六个月,22000
159,拘役,罚金,三个月,1000
160,拘役,罚金,三个月,1000
161,拘役,罚金,四个月,2000
162,有期徒刑,罚金,一年六个月,4000
163,有期徒刑,罚金,四年六个月,5000
164,有期徒刑,罚金,八年,10000
165,有期徒刑,罚金,六个月,3000
166,有期徒刑,罚金,三年十个月,4000
167,拘役,罚金,四个月,2000
168,有期徒刑,罚金,三年六个月,3000
169,有期徒刑,罚金,三年,2000
170,有期徒刑,罚金,一年四个月,1000
171,拘役,罚金,四个月,2000
172,有期徒刑,罚金,三年,3000
173,有期徒刑,没收财产,十五年,20000
